DateTime	uSt(mm/s)	wSt(mm/s)	k(w,u)600(m/day)	k(w)_600(m/day)
2011-04-30 00:00	4.0614	1.5626	1.5686	0.21449
2011-04-30 06:00	7.3295	0	2.6779	0
2011-04-30 12:00	8.3905	0	2.9719	0
2011-04-30 18:00	6.7139	0	2.4888	0
2011-05-01 00:00	2.6613	3.2035	1.0375	0.23499
2011-05-01 06:00	6.1937	3.0913	2.3214	0.22884
2011-05-01 12:00	9.3778	1.9566	3.2095	0.16252
2011-05-01 18:00	8.5901	3.9497	3.0235	0.27538
2011-05-02 00:00	6.8381	3.7969	2.5289	0.2675
2011-05-02 06:00	5.501	3.5817	2.0879	0.25613
2011-05-02 12:00	4.576	1.6317	1.7585	0.14206
2011-05-02 18:00	2.5452	2.9643	0.99271	0.22232
2011-05-03 00:00	1.8305	3.0897	0.71676	0.22932
2011-05-03 06:00	2.8784	3.0421	1.1209	0.22638
2011-05-03 12:00	4.4581	0	1.715	0
2011-05-03 18:00	2.7593	3.0948	1.0752	0.22874
2011-05-04 00:00	0.81231	4.3228	0.37478	0.3127
2011-05-04 06:00	0.86979	0	0.34003	0
2011-05-04 12:00	2.7069	0	1.0543	0
2011-05-04 18:00	1.7165	1.7587	0.67404	0.25697
2011-05-05 00:00	2.0439	2.7663	0.8033	0.32635
2011-05-05 06:00	3.9892	0	1.5411	0
2011-05-05 12:00	3.844	0	1.4869	0
2011-05-05 18:00	6.5534	0	2.4348	0
2011-05-06 00:00	2.5778	1.563	1.0048	0.17251
2011-05-06 06:00	5.4431	0	2.065	0
2011-05-06 12:00	5.4193	0	2.0563	0
2011-05-06 18:00	2.1097	2.4556	0.82598	0.27696
2011-05-07 00:00	1.2688	3.77	0.52759	0.3612
2011-05-07 06:00	1.6066	0	0.62762	0
2011-05-07 12:00	0.94185	0	0.36818	0
2011-05-07 18:00	8.3667e-010	2.0102	0.28099	0.28099
2011-05-08 00:00	1.4943	2.8953	0.60578	0.36871
2011-05-08 06:00	1.5465	0	0.60418	0
2011-05-08 12:00	3.4004	0	1.3188	0
2011-05-08 18:00	4.5142	0	1.7321	0
2011-05-09 00:00	2.4592	1.6484	0.95916	0.21744
2011-05-09 06:00	6.1119	0	2.2855	0
2011-05-09 12:00	5.8575	0	2.2022	0
2011-05-09 18:00	5.0913	0	1.9396	0
2011-05-10 00:00	6.2546	0	2.3316	0
2011-05-10 06:00	6.3517	0	2.3623	0
2011-05-10 12:00	6.1361	0	2.292	0
2011-05-10 18:00	5.0483	0	1.9229	0
2011-05-11 00:00	4.0396	0	1.558	0
2011-05-11 06:00	4.5285	0	1.7364	0
2011-05-11 12:00	2.1241	0	0.82874	0
2011-05-11 18:00	3.2265	0	1.2523	0
2011-05-12 00:00	1.3119	0	0.51264	0
2011-05-12 06:00	0.63227	0	0.24718	0
2011-05-12 12:00	0.39549	0	0.15462	0
2011-05-12 18:00	2.4776	0	0.9654	0
2011-05-13 00:00	3.5342	0	1.3684	0
2011-05-13 06:00	4.7008	3.4431	1.7976	0.37104
2011-05-13 12:00	5.7651	2.2324	2.164	0.2683
2011-05-13 18:00	5.5534	4.2407	2.0947	0.4349
2011-05-14 00:00	5.0404	4.6693	1.919	0.43589
2011-05-14 06:00	6.7623	4.1986	2.4828	0.40308
2011-05-14 12:00	9.3643	1.4302	3.1459	0.18004
2011-05-14 18:00	6.5036	4.4837	2.4055	0.42502
2011-05-15 00:00	5.4392	5.3878	2.0587	0.46219
2011-05-15 06:00	7.6682	4.1365	2.7463	0.37896
2011-05-15 12:00	9.4051	0	3.1582	0
2011-05-15 18:00	6.0667	5.0168	2.2668	0.43718
2011-05-16 00:00	1.7699	5.8791	0.72569	0.47071
2011-05-16 06:00	3.7692	3.0556	1.4575	0.28774
2011-05-16 12:00	6.3184	0	2.3453	0
2011-05-16 18:00	5.3134	4.4504	2.0136	0.4207
2011-05-17 00:00	1.3093	5.7659	0.59227	0.48322
2011-05-17 06:00	3.1441	1.979	1.2213	0.21646
2011-05-17 12:00	4.7966	0	1.8313	0
2011-05-17 18:00	5.0957	4.0363	1.937	0.38918
2011-05-18 00:00	0.79382	4.1256	0.42859	0.3955
2011-05-18 06:00	0.72523	1.6032	0.29806	0.19452
2011-05-18 12:00	3.7187	0	1.4374	0
2011-05-18 18:00	2.5197	0	0.9816	0
2011-05-19 00:00	3.3188	0	1.2869	0
2011-05-19 06:00	2.3568	0	0.91872	0
2011-05-19 12:00	3.4973	0	1.3541	0
2011-05-19 18:00	1.4934	0	0.58344	0
2011-05-20 00:00	1.1644	4.0315	0.51766	0.41234
2011-05-20 06:00	1.5225	0	0.59474	0
2011-05-20 12:00	2.8079	0	1.0921	0
2011-05-20 18:00	2.2696	0	0.88488	0
2011-05-21 00:00	1.4123	3.8	0.58375	0.3911
2011-05-21 06:00	5.3888	0	2.0312	0
2011-05-21 12:00	4.546	0	1.7381	0
2011-05-21 18:00	2.7271	0	1.061	0
2011-05-22 00:00	2.9153	0	1.1329	0
2011-05-22 06:00	3.1208	0	1.2111	0
2011-05-22 12:00	3.2942	0	1.2765	0
2011-05-22 18:00	4.4936	0	1.7179	0
2011-05-23 00:00	2.0008	3.8052	0.79788	0.42876
2011-05-23 06:00	2.8057	0	1.0909	0
2011-05-23 12:00	6.3708	0	2.3428	0
2011-05-23 18:00	2.4838	3.5638	0.97248	0.36938
2011-05-24 00:00	5.3188	5.6853	2.0079	0.5251
2011-05-24 06:00	4.5901	5.9478	1.7567	0.54271
2011-05-24 12:00	2.8797	0	1.1192	0
2011-05-24 18:00	3.9453	5.0514	1.5229	0.47935
2011-05-25 00:00	2.1192	5.3741	0.85361	0.50311
2011-05-25 06:00	3.3912	4.9174	1.3185	0.47083
2011-05-25 12:00	6.1386	0	2.2723	0
2011-05-25 18:00	5.7482	5.8266	2.1502	0.53537
2011-05-26 00:00	5.5246	7.5506	2.0795	0.60696
2011-05-26 06:00	7.6404	7.0698	2.7074	0.57818
2011-05-26 12:00	6.0885	0	2.2587	0
2011-05-26 18:00	4.5224	6.3374	1.7332	0.53256
2011-05-27 00:00	1.5585	7.022	0.70536	0.57614
2011-05-27 06:00	3.7297	5.6408	1.4448	0.48857
2011-05-27 12:00	4.4735	0	1.7118	0
2011-05-27 18:00	4.4844	5.1613	1.7177	0.45595
2011-05-28 00:00	1.8739	5.0862	0.7567	0.45161
2011-05-28 06:00	3.8235	5.2121	1.4783	0.45994
2011-05-28 12:00	7.3605	0	2.6311	0
2011-05-28 18:00	3.6222	4.3767	1.4022	0.40241
2011-05-29 00:00	3.5421	5.5605	1.375	0.48125
2011-05-29 06:00	3.6297	2.2838	1.4029	0.24682
2011-05-29 12:00	1.488	0	0.5813	0
2011-05-29 18:00	0.43426	0	0.16978	0
2011-05-30 00:00	2.6799	3.7186	1.0463	0.35549
2011-05-30 06:00	6.2437	3.8208	2.3054	0.36271
2011-05-30 12:00	7.8096	0	2.7439	0
2011-05-30 18:00	6.3123	0	2.3256	0
2011-05-31 00:00	4.2119	0	1.6166	0
2011-05-31 06:00	4.9622	0	1.8827	0
2011-05-31 12:00	7.6139	0	2.6899	0
2011-05-31 18:00	10.509	5.2243	3.2609	0.45703
2011-06-01 00:00	11.03	6.9186	3.3353	0.5657
2011-06-01 06:00	10.617	5.9663	3.2875	0.47981
2011-06-01 12:00	10.397	0	3.2561	0
2011-06-01 18:00	5.7621	5.8874	2.1539	0.47479
2011-06-02 00:00	1.5452	7.0401	0.6845	0.54281
2011-06-02 06:00	5.4629	5.5345	2.055	0.45281
2011-06-02 12:00	5.8994	0	2.196	0
2011-06-02 18:00	4.6802	4.0843	1.7852	0.38038
2011-06-03 00:00	5.0752	6.4716	1.9243	0.5081
2011-06-03 06:00	5.6009	2.8159	2.0986	0.28752
2011-06-03 12:00	5.7862	0	2.1577	0
2011-06-03 18:00	0.8309	0	0.32482	0
2011-06-04 00:00	0.37747	2.4882	0.28469	0.27941
2011-06-04 06:00	2.8054	0	1.0905	0
2011-06-04 12:00	6.7927	0	2.4581	0
2011-06-04 18:00	3.461	3.5603	1.3402	0.36307
2011-06-05 00:00	0.97774	5.4835	0.54002	0.50242
2011-06-05 06:00	2.6192	2.6874	1.0208	0.29352
2011-06-05 12:00	2.5822	0	1.0048	0
2011-06-05 18:00	2.6747	3.4506	1.0452	0.38887
2011-06-06 00:00	1.5931	5.3824	0.69758	0.54302
2011-06-06 06:00	2.01	0	0.78408	0
2011-06-06 12:00	3.5585	0	1.3739	0
2011-06-06 18:00	0.79229	0	0.30972	0
2011-06-07 00:00	1.4197	3.837	0.59465	0.41762
2011-06-07 06:00	3.4374	0	1.3284	0
2011-06-07 12:00	4.176	0	1.5988	0
2011-06-07 18:00	3.1614	0	1.2246	0
2011-06-08 00:00	6.6951	4.3206	2.413	0.45336
2011-06-08 06:00	4.7276	0	1.7932	0
2011-06-08 12:00	9.3991	0	3.0077	0
2011-06-08 18:00	5.9676	7.4236	2.203	0.6156
2011-06-09 00:00	7.1402	8.902	2.5409	0.70836
2011-06-09 06:00	5.8785	8.2091	2.1804	0.66876
2011-06-09 12:00	7.364	0	2.5997	0
2011-06-09 18:00	4.6638	7.757	1.7791	0.59854
2011-06-10 00:00	3.9707	8.5277	1.538	0.64438
2011-06-10 06:00	2.6283	7.1144	1.0453	0.56386
2011-06-10 12:00	5.4849	5.9475	2.0553	0.49392
2011-06-10 18:00	4.4197	6.8946	1.6936	0.55279
2011-06-11 00:00	4.9904	7.4642	1.8931	0.58766
2011-06-11 06:00	4.1935	6.3255	1.6122	0.51907
2011-06-11 12:00	6.0793	0	2.2443	0
2011-06-11 18:00	3.7167	6.8507	1.4411	0.55087
2011-06-12 00:00	1.3473	7.9393	0.66178	0.58234
2011-06-12 06:00	1.8027	3.6897	0.71376	0.34606
2011-06-12 12:00	3.9644	0	1.5241	0
2011-06-12 18:00	1.0546	3.8078	0.49445	0.41928
2011-06-13 00:00	1.6831	6.7922	0.74237	0.58512
2011-06-13 06:00	1.8057	1.713	0.70618	0.20834
2011-06-13 12:00	6.0349	0	2.2276	0
